"miRTarBase ID","miRNA","Species (miRNA)","Target Gene","Target Gene (Entrez ID)","Species (Target Gene)","Experiments","Support Type","References (PMID)"
"MIRT004562","dre-miR-133c-3p","Danio rerio","ap2m1b","394001","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT004576","dre-miR-451","Danio rerio","gata2a","30480","Danio rerio","GFP reporter assay","Functional MTI","18849488"
"MIRT004577","dre-miR-144-3p","Danio rerio","gata2a","30480","Danio rerio","GFP reporter assay","Non-Functional MTI","18849488"
"MIRT004585","dre-miR-138-5p","Danio rerio","vcana","116993","Danio rerio","GFP reporter assay//Immunohistochemistry//Luciferase reporter assay//qRT-PCR//in situ hybridization","Functional MTI","19004786"
"MIRT004635","dre-miR-143","Danio rerio","add3a","556762","Danio rerio","GFP reporter assay//qRT-PCR","Functional MTI","20460367"
"MIRT004654","dre-miR-133b-3p","Danio rerio","ttk","317763","Danio rerio","Luciferase reporter assay//Western blot","Functional MTI","20056941"
"MIRT004734","dre-let-7a","Danio rerio","hspd1","282676","Danio rerio","Immunocytochemistry//In situ hybridization//Luciferase reporter assay//qRT-PCR//Western blot","Functional MTI","20935637"
"MIRT004735","dre-let-7f","Danio rerio","hspd1","282676","Danio rerio","Immunocytochemistry//In situ hybridization//Luciferase reporter assay//qRT-PCR//Western blot","Functional MTI","20935637"
"MIRT004807","dre-miR-144-3p","Danio rerio","klfd","30104","Danio rerio","GFP reporter assay//Luciferase reporter assay//qRT-PCR//Western blot","Functional MTI","18941117"
"MIRT004808","dre-miR-144-3p","Danio rerio","lmo2","30332","Danio rerio","GFP reporter assay","Non-Functional MTI","18941117"
"MIRT004809","dre-miR-144-3p","Danio rerio","alas2","64607","Danio rerio","GFP reporter assay","Non-Functional MTI","18941117"
"MIRT004810","dre-miR-144-3p","Danio rerio","klf3","117603","Danio rerio","GFP reporter assay","Non-Functional MTI","18941117"
"MIRT004819","dre-miR-430b-3p","Danio rerio","ndr1","799352","Danio rerio","GFP reporter assay","Functional MTI","17761850"
"MIRT004871","dre-miR-430b-3p","Danio rerio","tdrd7","406379","Danio rerio","GFP reporter assay","Functional MTI","17084698"
"MIRT004871","dre-miR-430b-3p","Danio rerio","tdrd7","406379","Danio rerio","GFP reporter assay","Functional MTI","19770025"
"MIRT004872","dre-miR-430b-3p","Danio rerio","vasa","30263","Danio rerio","GFP reporter assay","Non-Functional MTI","17084698"
"MIRT005286","dre-let-7a","Danio rerio","trim71","561754","Danio rerio","GFP reporter assay//Northern blot//Western blot","Functional MTI","15585662"
"MIRT005368","dre-miR-1","Danio rerio","hand2","58150","Danio rerio","Luciferase reporter assay","Functional MTI","15951802"
"MIRT005506","dre-miR-430a-3p","Danio rerio","cxcl12a","352944","Danio rerio","GFP reporter assay//In situ hybridization//Microarray//qRT-PCR","Functional MTI","21258340"
"MIRT005506","dre-miR-430a-3p","Danio rerio","cxcl12a","352944","Danio rerio","In situ hybridization","Functional MTI (Weak)","23382464"
"MIRT005507","dre-miR-430a-3p","Danio rerio","cxcr7b","100000764","Danio rerio","GFP reporter assay//In situ hybridization//Microarray//qRT-PCR","Functional MTI","21258340"
"MIRT005611","dre-let-7a","Danio rerio","ascl1a","30466","Danio rerio","Western blot","Functional MTI","20935637"
"MIRT005612","dre-let-7f","Danio rerio","lin28a","394066","Danio rerio","Western blot","Functional MTI","20935637"
"MIRT005613","dre-let-7a","Danio rerio","lin28a","394066","Danio rerio","Western blot","Functional MTI","20935637"
"MIRT005615","dre-let-7f","Danio rerio","ascl1a","30466","Danio rerio","Western blot","Functional MTI","20935637"
"MIRT005616","dre-let-7a","Danio rerio","pax6b","60639","Danio rerio","Western blot","Functional MTI","20935637"
"MIRT005617","dre-let-7f","Danio rerio","pax6b","60639","Danio rerio","Western blot","Functional MTI","20935637"
"MIRT005618","dre-let-7a","Danio rerio","klf4b","65238","Danio rerio","Western blot","Non-Functional MTI","20935637"
"MIRT005619","dre-let-7a","Danio rerio","myca","30686","Danio rerio","Western blot","Functional MTI","20935637"
"MIRT005620","dre-let-7f","Danio rerio","klf4b","65238","Danio rerio","Western blot","Non-Functional MTI","20935637"
"MIRT005621","dre-let-7f","Danio rerio","myca","30686","Danio rerio","Western blot","Functional MTI","20935637"
"MIRT005622","dre-let-7a","Danio rerio","mycb","393141","Danio rerio","Western blot","Functional MTI","20935637"
"MIRT005623","dre-let-7f","Danio rerio","mycb","393141","Danio rerio","Western blot","Functional MTI","20935637"
"MIRT005624","dre-let-7a","Danio rerio","pou5f3","30333","Danio rerio","Western blot","Functional MTI","20935637"
"MIRT005625","dre-let-7f","Danio rerio","pou5f3","30333","Danio rerio","Western blot","Functional MTI","20935637"
"MIRT005657","dre-miR-1","Danio rerio","atp6v1e1b","192335","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT006131","dre-miR-125b-5p","Danio rerio","ppp1cab","327301","Danio rerio","Luciferase reporter assay//qRT-PCR//Western blot","Functional MTI","21935352"
"MIRT006584","dre-miR-140-5p","Danio rerio","pdgfra","386856","Danio rerio","GFP reporter assay//Western blot","Functional MTI","18264099"
"MIRT006590","dre-miR-3906","Danio rerio","dkk3","100038765","Danio rerio","GFP reporter assay//Luciferase reporter assay//qRT-PCR//Western blot//Northern blot","Functional MTI","20236986"
"MIRT006593","dre-miR-430b-3p","Danio rerio","nanos1","322903","Danio rerio","GFP reporter assay","Functional MTI","17084698"
"MIRT006980","dre-miR-206-3p","Danio rerio","jun","335916","Danio rerio","Western blot","Functional MTI","22615492"
"MIRT007206","dre-miR-218a","Danio rerio","tbx5a","30071","Danio rerio","FACS","Functional MTI (Weak)","23226307"
"MIRT007471","dre-miR-145-5p","Danio rerio","acta2","322509","Danio rerio","qRT-PCR;Other","Non-Functional MTI (Weak)","19805048"
"MIRT035521","dre-miR-92a-3p","Danio rerio","nog3","30173","Danio rerio","GFP reporter assay//Western blot","Functional MTI","23410941"
"MIRT052925","dre-miR-30b","Danio rerio","smo","30225","Danio rerio","GFP reporter assay//Western blot","Functional MTI","23755189"
"MIRT052926","dre-miR-30c-5p","Danio rerio","smo","30225","Danio rerio","GFP reporter assay//Western blot","Functional MTI","23755189"
"MIRT052927","dre-miR-30d","Danio rerio","smo","30225","Danio rerio","GFP reporter assay//Western blot","Functional MTI","23755189"
"MIRT052928","dre-miR-30e-5p","Danio rerio","smo","30225","Danio rerio","GFP reporter assay//Western blot","Functional MTI","23755189"
"MIRT053111","dre-miR-21","Danio rerio","spry2","335098","Danio rerio","GFP reporter assay//Luciferase reporter assay//qRT-PCR//Western blot","Functional MTI","23748970"
"MIRT053116","dre-miR-30a-5p","Danio rerio","smo","30225","Danio rerio","GFP reporter assay//Western blot","Functional MTI","23755189"
"MIRT053539","dre-miR-1","Danio rerio","vegfaa","30682","Danio rerio","ELISA//Luciferase reporter assay//Northern blot//qRT-PCR//Western blot","Functional MTI","23132244"
"MIRT053540","dre-miR-206-3p","Danio rerio","vegfaa","30682","Danio rerio","ELISA//Luciferase reporter assay//Northern blot//qRT-PCR//Western blot","Functional MTI","23132244"
"MIRT054401","dre-miR-144-3p","Danio rerio","meis1","170446","Danio rerio","Luciferase reporter assay//qRT-PCR//Western blot","Functional MTI","24448023"
"MIRT437438","dre-miR-30a-5p","Danio rerio","dll4","563920","Danio rerio","FACS//Flow//In situ hybridization//Luciferase reporter assay//Northern blot//qRT-PCR//Western blot","Functional MTI","23817492"
"MIRT437927","dre-miR-140-5p","Danio rerio","prkaa2","572074","Danio rerio","In situ hybridization//qRT-PCR","Functional MTI (Weak)","24751937"
"MIRT437928","dre-let-7d-5p","Danio rerio","prkaa1","100001198","Danio rerio","In situ hybridization//qRT-PCR","Functional MTI (Weak)","24751937"
"MIRT438077","dre-miR-3906","Danio rerio","homer1b","436769","Danio rerio","In situ hybridization//Western blot//qRT-PCR//Luciferase reporter assay","Functional MTI","23936160"
